שאלה,תשובות,תשובה נכונה,מושג,פרק,
מתי פגיעה של השלטון בזכויות אדם נחשבת לחוקית לפי עקרון שלטון החוק?,רק כאשר הפגיעה נעשית מכוח חוק מפורש וברור / בכל פעם שהשלטון סבור שהדבר נחוץ לטובת הכלל / כאשר רוב העם תומך בפגיעה בזכויות אלו,רק כאשר הפגיעה נעשית מכוח חוק מפורש וברור,עקרון שלטון החוק,עקרונות הדמוקרטיה ושלטון החוק,
"מהי ""פקודה בלתי חוקית בעליל""?","פקודה המורה לבצע מעשה לא מוסרי בעליל ש""דגל שחור"" מתנוסס מעליו / פקודה שניתנה על ידי קצין זוטר ללא סמכות / פקודה שאינה מופיעה בספר הפקודות הצבאי","פקודה המורה לבצע מעשה לא מוסרי בעליל ש""דגל שחור"" מתנוסס מעליו",פקודה בלתי חוקית בעליל,עקרונות הדמוקרטיה ושלטון החוק,
"כיצד על חייל או שוטר לנהוג כאשר הוא מקבל ""פקודה בלתי חוקית בעליל""?",חובה עליו לסרב לבצע אותה באופן מיידי / עליו לבצע אותה ואז להתלונן בפני המפקד / עליו לבקש מהמפקד אישור בכתב לפני הביצוע,חובה עליו לסרב לבצע אותה באופן מיידי,פקודה בלתי חוקית בעליל,עקרונות הדמוקרטיה ושלטון החוק,
"מדוע מי שמבצע ""פקודה בלתי חוקית בעליל"" עומד לדין פלילי למרות שפעל לפי הוראת מפקדו?",כי המעשה נוגד את המוסר האנושי הבסיסי וכל אדם סביר אמור לזהות זאת / כי ציות למפקדים הוא רשות בלבד במדינת ישראל / כי רק למפקד מותר להחליט מהו מוסרי,כי המעשה נוגד את המוסר האנושי הבסיסי וכל אדם סביר אמור לזהות זאת,פקודה בלתי חוקית בעליל,עקרונות הדמוקרטיה ושלטון החוק,
"מהי מטרתה של ""דמוקרטיה מתגוננת""?",להגן על המשטר הדמוקרטי וערכיו מפני קבוצות המשתמשות בכלים דמוקרטיים כדי לחסל את הדמוקרטיה / למנוע מהממשלה לקבל החלטות בנושאי ביטחון / לאפשר לצבא לשלוט במדינה במקרה של איום חיצוני,להגן על המשטר הדמוקרטי וערכיו מפני קבוצות המשתמשות בכלים דמוקרטיים כדי לחסל את הדמוקרטיה,דמוקרטיה מתגוננת,עקרונות הדמוקרטיה ושלטון החוק,
"מהו האמצעי המרכזי שבו משתמשת ישראל כ""דמוקרטיה מתגוננת""?",פסילת רשימות או מועמדים השוללים את קיום המדינה או אופייה הדמוקרטי מלהתמודד בבחירות / איסור על קיום הפגנות של האופוזיציה / סגירת כלי תקשורת שמבקרים את הממשלה,פסילת רשימות או מועמדים השוללים את קיום המדינה או אופייה הדמוקרטי מלהתמודד בבחירות,דמוקרטיה מתגוננת,עקרונות הדמוקרטיה ושלטון החוק,
"איזה מתח יוצרת גישת ה""דמוקרטיה המתגוננת""?",מתח בין הצורך להגן על המדינה לבין הזכות לבחור ולהיבחר וחופש הביטוי / מתח בין הרשות השופטת לרשות המבצעת בנושאי תקציב / מתח בין חופש הדת לחופש מדת,מתח בין הצורך להגן על המדינה לבין הזכות לבחור ולהיבחר וחופש הביטוי,דמוקרטיה מתגוננת,עקרונות הדמוקרטיה ושלטון החוק,
"מהו ""מעצר מנהלי""?","מעצר ביטחוני של אדם ללא משפט פלילי רגיל, המבוסס על ראיות חסויות / מעצר של עובדי מדינה החשודים בשחיתות שלטונית / מעצר שמתבצע רק על ידי משטרת ישראל בגין עבירות תנועה","מעצר ביטחוני של אדם ללא משפט פלילי רגיל, המבוסס על ראיות חסויות",מעצר מנהלי,עקרונות הדמוקרטיה ושלטון החוק,
מדוע השימוש במעצר מנהלי נחשב לצעד שנוי במחלוקת בדמוקרטיה?,כי הוא פוגע בזכות לחירות ובהליך משפטי הוגן ללא הוכחת אשמה בבית משפט / כי הוא מאפשר לאסירים להשתחרר מוקדם מדי מהכלא / כי הוא דורש אישור של נשיא המדינה בלבד,כי הוא פוגע בזכות לחירות ובהליך משפטי הוגן ללא הוכחת אשמה בבית משפט,מעצר מנהלי,עקרונות הדמוקרטיה ושלטון החוק,
מהו התנאי ההכרחי להוצאת צו מעצר מנהלי בישראל?,חשש ממשי ומידי לפגיעה בביטחון המדינה שלא ניתן למנוע בדרך אחרת / קיומו של תיק פלילי קודם לאותו אדם / הסכמה של לפחות 61 חברי כנסת,חשש ממשי ומידי לפגיעה בביטחון המדינה שלא ניתן למנוע בדרך אחרת,מעצר מנהלי,עקרונות הדמוקרטיה ושלטון החוק,
"מהו המעמד המיוחד של ""חוקי יסוד"" במדינת ישראל?",חוקים בעלי מעמד עליון המשמשים כפרקי החוקה העתידית / חוקים שניתן לשנות רק בהסכמת נשיא המדינה / חוקים שעוסקים רק בנושאי דת ומדינה,חוקים בעלי מעמד עליון המשמשים כפרקי החוקה העתידית,חוקי יסוד (מאפיינים),הרשות המחוקקת,
"מהי פסקת ""שריון"" (פורמלי) בחוק יסוד?",סעיף הקובע כי ניתן לשנות את החוק רק ברוב מוחלט או מיוחד של חברי הכנסת / סעיף האוסר על הממשלה לבטל את החוק בשעת חירום / סעיף המגן על חברי הכנסת מפני העמדה לדין,סעיף הקובע כי ניתן לשנות את החוק רק ברוב מוחלט או מיוחד של חברי הכנסת,שריון (פורמלי),הרשות המחוקקת,
"מהי מטרתה של ""פסקת ההגבלה"" בחוקי היסוד?",לקבוע את התנאים שבהם מותר לכנסת לחוקק חוק שפוגע בזכויות המוגנות בחוק היסוד / להגביל את מספר השרים המכהנים בממשלה / למנוע מהנשיא להטיל וטו על חוקים,לקבוע את התנאים שבהם מותר לכנסת לחוקק חוק שפוגע בזכויות המוגנות בחוק היסוד,פסקת הגבלה (שריון מהותי),הרשות המחוקקת,
"מה התרחש בעקבות ""המהפכה החוקתית"" בשנות ה-90?",בית המשפט החל להפעיל ביקורת שיפוטית ולפסול חוקים הסותרים את חוקי היסוד / הממשלה הפכה לרשות החזקה ביותר במדינה / הכנסת החליטה לבטל את כל חוקי היסוד הקיימים,בית המשפט החל להפעיל ביקורת שיפוטית ולפסול חוקים הסותרים את חוקי היסוד,המהפכה החוקתית,הרשות השופטת,
"איזו זכות קיבלה מעמד חוקתי על-חוקי ב""חוק יסוד: כבוד האדם וחירותו""?","הזכות לקניין, לפרטיות ולחופש התנועה / הזכות לבחור ולהיבחר לכנסת / הזכות לחינוך חינם לכל אזרח","הזכות לקניין, לפרטיות ולחופש התנועה",חוק יסוד: כבוד האדם וחירותו,זכויות וחובות,
"מהו ההבדל המרכזי בין ""קבוצה אתנית"" לבין ""לאום""?","לאום שואף להגדרה עצמית ולריבונות מדינית, בעוד שקבוצה אתנית אינה שואפת לכך בהכרח / קבוצה אתנית מבוססת רק על דת, ולאום מבוסס על שפה / אין הבדל, אלו מילים נרדפות לאותה קבוצה","לאום שואף להגדרה עצמית ולריבונות מדינית, בעוד שקבוצה אתנית אינה שואפת לכך בהכרח",קבוצה אתנית,הלאום היהודי והשסעים בחברה,
"מהי ""לאומיות אתנית-תרבותית""?","זהות לאומית המבוססת על יסודות משותפים שאינם פרי בחירה (היסטוריה, שפה, דת) / זהות לאומית המבוססת רק על מגורים משותפים באותה מדינה / זהות שבה כל אזרח בוחר לאיזה לאום להשתייך","זהות לאומית המבוססת על יסודות משותפים שאינם פרי בחירה (היסטוריה, שפה, דת)",לאומיות אתנית-תרבותית,הלאום היהודי והשסעים בחברה,
באיזה דגם של מדינה הלאומיות מבוססת על אזרחות משותפת וערכים פוליטיים?,מדינת לאום פוליטית/כלל אזרחיה / מדינת לאום אתנית-תרבותית / מדינת הלכה,מדינת לאום פוליטית/כלל אזרחיה,לאומיות אזרחית/פוליטית,הלאום היהודי והשסעים בחברה,
ישראל מוגדרת כמדינת לאום יהודית. איזה סוג של לאומיות זה מייצג?,לאומיות אתנית-תרבותית / לאומיות אזרחית-פוליטית / לאומיות אוניברסלית,לאומיות אתנית-תרבותית,לאומיות אתנית-תרבותית,הלאום היהודי והשסעים בחברה,
"מה קובע ""חוק יסוד: ישראל – מדינת הלאום של העם היהודי"" לגבי סמלי המדינה?","הוא מעגן בחוק יסוד את הדגל, הסמל וההמנון כסמלים לאומיים / הוא קובע שיש לשנות את המנון המדינה כדי שיתאים לכלל האזרחים / הוא מבטל את מעמד הדגל כסמל רשמי","הוא מעגן בחוק יסוד את הדגל, הסמל וההמנון כסמלים לאומיים","חוק יסוד: ישראל - מדינת הלאום (""חוק הלאום"")",מאפייני המדינה היהודית,
"איזו שפה נקבעה כ""שפה הרשמית של המדינה"" בחוק הלאום?","עברית (תוך מתן מעמד מיוחד לשפה הערבית) / עברית וערבית במעמד שווה לגמרי / עברית, ערבית ואנגלית",עברית (תוך מתן מעמד מיוחד לשפה הערבית),"חוק יסוד: ישראל - מדינת הלאום (""חוק הלאום"")",מאפייני המדינה היהודית,
"מהו ""חוק יסודות המשפט"" ואיזה קשר הוא יוצר למורשת ישראל?","הוא קובע שבמקרה של חוסר בחוק, השופטים יפנו לעקרונות החירות והצדק של מורשת ישראל / הוא מחייב את השופטים לשפוט רק לפי דין תורה / הוא מבטל את סמכותו של בית המשפט העליון","הוא קובע שבמקרה של חוסר בחוק, השופטים יפנו לעקרונות החירות והצדק של מורשת ישראל",חוק יסודות המשפט,דת ומדינה,
"מהי ""עבריינות פלילית-רגילה""?","הפרת חוק ממניעים של תועלת אישית או אלימות, ללא כוונה פוליטית / הפרת חוק שנועדה לשנות מדיניות ממשלתית / עבירה המבוצעת על ידי נבחר ציבור בלבד","הפרת חוק ממניעים של תועלת אישית או אלימות, ללא כוונה פוליטית",עבריינות פלילית-רגילה,עקרונות הדמוקרטיה ושלטון החוק,
"כיצד מוגדרת ""עבריינות שלטונית אישית"" (שחיתות)?",עבירה המבוצעת על ידי אדם בתפקיד ציבורי המנצל את סמכותו לטובתו האישית / עבירה שמבצע אזרח נגד פקיד ממשלתי / הפרת חוק של שר במטרה להיטיב עם כלל הציבור,עבירה המבוצעת על ידי אדם בתפקיד ציבורי המנצל את סמכותו לטובתו האישית,עבריינות שלטונית אישית (שחיתות),עקרונות הדמוקרטיה ושלטון החוק,
"מהי ""עבריינות שלטונית ציבורית""?",עבירה המבוצעת על ידי איש ציבור כדי להיטיב עם קבוצה מסוימת או לקדם אינטרס ציבורי בדרכים לא חוקיות / גניבת כספים מקופת המדינה לטובת חשבון הבנק הפרטי של השר / הפרת חוק על ידי אזרחים המוחים נגד הממשלה,עבירה המבוצעת על ידי איש ציבור כדי להיטיב עם קבוצה מסוימת או לקדם אינטרס ציבורי בדרכים לא חוקיות,עבריינות שלטונית ציבורית,עקרונות הדמוקרטיה ושלטון החוק,
"מה קובע ""חוק שעות עבודה ומנוחה"" בהקשר הדתי?",החוק קובע את השבת כיום המנוחה השבועי ליהודים (ויום חילופי לבני דתות אחרות) / החוק אוסר על עבודה של יותר מ-8 שעות ביום מטעמי בריאות / החוק מחייב כל עסק לסגור את שעריו בצהרי יום שישי,החוק קובע את השבת כיום המנוחה השבועי ליהודים (ויום חילופי לבני דתות אחרות),חוק שעות עבודה ומנוחה,דת ומדינה,
"מהי מטרתו של ""חוק חג המצות"" (חוק החמץ)?",איסור על הצגת חמץ בפומבי למכירה במהלך חג הפסח / חובה על כל אזרח לאכול מצות בליל הסדר / איסור על יבוא קמח לישראל במהלך חודש ניסן,איסור על הצגת חמץ בפומבי למכירה במהלך חג הפסח,חוק חג המצות,דת ומדינה,
"מהו תחום השיפוט של ""בתי דין רבניים"" לפי החוק בישראל?",נושאי מעמד אישי (נישואין וגירושין) של יהודים בישראל / עבירות פליליות שבוצעו על ידי אנשים דתיים / סכסוכים כספיים בין אזרחים המעוניינים במשפט התורה,נושאי מעמד אישי (נישואין וגירושין) של יהודים בישראל,חוק שיפוט בתי דין רבניים,דת ומדינה,
"מהי ""ארנונה"" ומהו השימוש העיקרי בה?","מס מוניציפלי שגובה הרשות המקומית למימון שירותים לתושב (ניקיון, תאורה וכו') / מס שמשלמים אזרחים לממשלה עבור אחזקת צבא / אגרה שמשלמים רק בעלי עסקים גדולים בעיר","מס מוניציפלי שגובה הרשות המקומית למימון שירותים לתושב (ניקיון, תאורה וכו')",ארנונה,שלטון מקומי,
"מהי ""ועדה קרואה"" (ועדה ממונה)?",ועדה שממנה שר הפנים לניהול רשות מקומית שנכשלה בתפקודה או בניהול תקציבה / ועדה בכנסת האחראית על קבלת פני שגרירים זרים / קבוצת תושבים שנבחרת לייעץ לראש העיר בהתנדבות,ועדה שממנה שר הפנים לניהול רשות מקומית שנכשלה בתפקודה או בניהול תקציבה,ועדה קרואה,שלטון מקומי,
מהן סמכויות הפיקוח של משרד הפנים על הרשויות המקומיות?,"אישור תקציבים, אישור חוקי עזר ומינוי ועדה קרואה במידת הצורך / קביעת זהות המועמדים לראשות העיר / ניהול ישיר של מחלקת החינוך בכל עיר ועיר","אישור תקציבים, אישור חוקי עזר ומינוי ועדה קרואה במידת הצורך",רשות מקומית,שלטון מקומי,
"מהו ""צו על תנאי"" שמוציא בג""ץ?",צו המורה לרשות המדינה להתייצב ולהסביר מדוע לא תפעל כפי שמבקש העותר / פסק דין סופי המחייב את המדינה לשלם פיצויים / הוראה למשטרה לעצור אדם עד תום ההליכים,צו המורה לרשות המדינה להתייצב ולהסביר מדוע לא תפעל כפי שמבקש העותר,צו על תנאי,הרשות השופטת,
"מהו ""צו ביניים"" בהקשר של עתירה לבג""ץ?","צו זמני המורה למדינה להקפיא את המצב הקיים עד לקבלת החלטה סופית בעתירה / צו המורה לכנסת לחוקק חוק חדש תוך 30 יום / החלטה של בג""ץ להעביר את הדיון לבית משפט שלום",צו זמני המורה למדינה להקפיא את המצב הקיים עד לקבלת החלטה סופית בעתירה,צו ביניים,הרשות השופטת,
"מהי המשמעות של ""צו מוחלט"" (החלטי) בסיום דיון בבג""ץ?",החלטה סופית של בית המשפט המקבלת את העתירה ומורה למדינה לפעול בהתאם / החלטה הדוחה את העתירה ומחייבת את העותר בהוצאות / צו המבטל את כל פסקי הדין הקודמים באותו נושא,החלטה סופית של בית המשפט המקבלת את העתירה ומורה למדינה לפעול בהתאם,צו החלטי/מוחלט,הרשות השופטת,
מהי המשמעות המרכזית של ריבונות מדינית? ," ניהול ענייני פנים וחוץ ללא התערבות זרה / תלות מוחלטת בהחלטות האו""ם / שלטון אזרחי מלא על הצבא ", ניהול ענייני פנים וחוץ ללא התערבות זרה , ריבונות , רקע היסטורי והכרזת העצמאות,
"כאשר מדינה זרה מכתיבה למדינה אחרת אילו חוקים לחוקק, באיזה עקרון היא פוגעת? ", עקרון הדמוקרטיה / עקרון הריבונות / עקרון הכרעת הרוב , עקרון הריבונות , ריבונות , רקע היסטורי והכרזת העצמאות,
מהו התנאי ההכרחי כדי שיישות תוגדר כמדינה עצמאית במערכת הבינלאומית? ," קיום צבא גדול וחזק / חברות בנאט""ו / ריבונות ", ריבונות , ריבונות , רקע היסטורי והכרזת העצמאות,
איזה גוף שימש כמעין פרלמנט זמני לקראת סיום המנדט הבריטי ובימי המדינה הראשונים? , מנהלת העם / מועצת העם / הכנסת , מועצת העם , מועצת העם , רקע היסטורי והכרזת העצמאות,
מי היו הגורמים שחתמו על מגילת העצמאות של מדינת ישראל? , חברי מנהלת העם / חברי מועצת העם / נציגי הסוכנות היהודית , חברי מועצת העם , מועצת העם , רקע היסטורי והכרזת העצמאות,
מה היה תפקידה המרכזי של מועצת העם עד לכינון הכנסת הראשונה? , לשמש כרשות מבצעת זמנית / לשמש כרשות מחוקקת זמנית / לשמש כבית המשפט העליון , לשמש כרשות מחוקקת זמנית , מועצת העם , רקע היסטורי והכרזת העצמאות,
איזה גוף הוקם עם הכרזת המדינה כדי לשמש כרשות המבצעת (הממשלה) הזמנית? , מועצת העם / מנהלת העם / הסוכנות היהודית , מנהלת העם , מנהלת העם , רקע היסטורי והכרזת העצמאות,
מה היה ההבדל המרכזי בחלוקת הסמכויות בין מועצת העם למנהלת העם? , המועצה הייתה הפרלמנט והמנהלת הממשלה / המועצה הייתה הממשלה והמנהלת הפרלמנט / המועצה טיפלה בחוץ והמנהלת בפנים , המועצה הייתה הפרלמנט והמנהלת הממשלה , מנהלת העם , רקע היסטורי והכרזת העצמאות,
מי היה הגוף שאחראי על הניהול המעשי והביצועי של מדינת ישראל בימיה הראשונים? , מנהלת העם / מועצת העם / ההסתדרות הציונית , מנהלת העם , מנהלת העם , רקע היסטורי והכרזת העצמאות,
אילו מהחלקים הבאים אינו מהווה חלק מהמבנה הרשמי של מגילת העצמאות? , הצדקות היסטוריות ובינלאומיות / חוקה משפטית מפורטת לכל אזרח / פניות לגורמים שונים , חוקה משפטית מפורטת לכל אזרח , הכרזת/מגילת העצמאות , רקע היסטורי והכרזת העצמאות,
"מהי המשמעות של ""החלק האופרטיבי"" במגילת העצמאות? ", פירוט ההיסטוריה של עם ישראל / ההכרזה המעשית על הקמת המדינה ומוסדותיה / הפנייה לשכנים הערבים לשלום , ההכרזה המעשית על הקמת המדינה ומוסדותיה , הכרזת/מגילת העצמאות , רקע היסטורי והכרזת העצמאות,
במגילת העצמאות מופיעה התחייבות לשמירה על המקומות הקדושים. למי היא מופנית? ," ליהודים בלבד / לבני כל הדתות / לאו""ם בלבד ", לבני כל הדתות , הכרזת/מגילת העצמאות , רקע היסטורי והכרזת העצמאות,
מהם שלושת סמלי המדינה הרשמיים המוגדרים בחוק? ," דגל, סמל המדינה והמנון / הכנסת, הממשלה והנשיא / השפה העברית, הדגל וההמנון "," דגל, סמל המדינה והמנון ", סמלי המדינה , רקע היסטורי והכרזת העצמאות,
איזה מרכיב בסמל המדינה מסמל את השאיפה לשלום? , המנורה / ענפי הזית / מגן הדוד , ענפי הזית , סמלי המדינה , רקע היסטורי והכרזת העצמאות,
מקור ההשראה המרכזי לעיצובו של דגל מדינת ישראל הוא: , דגל המהפכה הצרפתית / הטלית היהודית / דגל חבר הלאומים , הטלית היהודית , סמלי המדינה , רקע היסטורי והכרזת העצמאות,
מהו המעמד החוקי של לוח השנה העברי במדינת ישראל? , לוח שנה אופציונלי לשימוש אישי / הלוח הרשמי לציון חגים וימי שבתון / לוח המשמש רק את המגזר הדתי , הלוח הרשמי לציון חגים וימי שבתון , לוח השנה העברי , רקע היסטורי והכרזת העצמאות,
כיצד בא לידי ביטוי מעמדו של הלוח העברי במסמכים רשמיים של המדינה? , קיימת חובה לציין את התאריך העברי / מותר להשתמש רק בתאריך הלועזי / יש חובה לציין את תאריך חודש הרמדאן , קיימת חובה לציין את התאריך העברי , לוח השנה העברי , רקע היסטורי והכרזת העצמאות,
קביעת ימי השבתון והחגים על פי הלוח העברי היא ביטוי ל... , אופייה הדמוקרטי של המדינה / אופייה היהודי של המדינה / המורשת הבריטית , אופייה היהודי של המדינה , לוח השנה העברי , רקע היסטורי והכרזת העצמאות,
איזו שפה מוגדרת כיום בחוק יסוד כשפתה הרשמית היחידה של מדינת ישראל? , עברית / אנגלית / עברית וערבית , עברית , מעמד השפה העברית , רקע היסטורי והכרזת העצמאות,
מהו מעמדה של השפה הערבית בישראל כיום על פי חוק הלאום? , שפה רשמית שווה לעברית / בעלת מעמד מיוחד / אין לה שום מעמד חוקי , בעלת מעמד מיוחד , מעמד השפה העברית , רקע היסטורי והכרזת העצמאות,
קביעת השפה העברית כשפה הרשמית של המדינה נועדה להדגיש את: , היותה מדינת כל אזרחיה / היותה מדינת לאום יהודית / הצורך במיזוג גלויות , היותה מדינת לאום יהודית , מעמד השפה העברית , רקע היסטורי והכרזת העצמאות,
מהו המאפיין הבסיסי ביותר של זכויות האדם הטבעיות? , השלטון מעניק אותן לאזרחים כפרס / הן שייכות לכל אדם באשר הוא אדם / הן תלויות במילוי חובות למדינה , הן שייכות לכל אדם באשר הוא אדם , זכויות האדם הטבעיות , זכויות וחובות,
"מדוע מכונות זכויות אלו בשם ""זכויות טבעיות""? ", כי הן קשורות לשמירה על הטבע / כי הן אינן מוענקות על ידי השלטון אלא שייכות לאדם מלידה / כי הן משתנות לפי הטבע האנושי , כי הן אינן מוענקות על ידי השלטון אלא שייכות לאדם מלידה , זכויות האדם הטבעיות , זכויות וחובות,
האם רשות שלטונית רשאית לבטל לחלוטין את זכויותיו הטבעיות של אדם? ," כן, אם הכנסת מחוקקת זאת / לא, כי הן אינן מוענקות על ידה אלא רק מוכרות על ידה / כן, במקרה של מצב חירום "," לא, כי הן אינן מוענקות על ידה אלא רק מוכרות על ידה ", זכויות האדם הטבעיות , זכויות וחובות,
מה מאפיין את קבוצת הזכויות הפוליטיות והאזרחיות? ," הן עוסקות רק ברווחה כלכלית / הן מאפשרות לאזרח להשתתף בניהול המדינה ולהשפיע על השלטון / הן מוענקות רק למי ששירת בצה""ל ", הן מאפשרות לאזרח להשתתף בניהול המדינה ולהשפיע על השלטון , זכויות פוליטיות/אזרחיות , זכויות וחובות,
איזו מהזכויות הבאות מוענקת באופן בלעדי לאזרחי המדינה בלבד? , חופש ההפגנה / הזכות לבחור ולהיבחר / הזכות להליך הוגן , הזכות לבחור ולהיבחר , זכויות פוליטיות/אזרחיות , זכויות וחובות,
חופש ההפגנה והביקורת על השלטון שייכות לזכויות פוליטיות-אזרחיות. למי הן ניתנות? , לכל אדם הנמצא במדינה / לאזרחים בלבד / לחברי כנסת בלבד , לכל אדם הנמצא במדינה , זכויות פוליטיות/אזרחיות , זכויות וחובות,
כיצד מממש האזרח את יכולתו לקבוע את הרכב השלטון בדמוקרטיה ייצוגית? , באמצעות חופש העיסוק / באמצעות הזכות לבחור ולהיבחר / באמצעות הזכות לפרטיות , באמצעות הזכות לבחור ולהיבחר , הזכות לבחור ולהיבחר , זכויות וחובות,
איזה עקרון דמוקרטי מרכזי בא לידי ביטוי מעשי באמצעות הזכות לבחור ולהיבחר? , שלטון החוק / שלטון העם / זכויות המיעוט , שלטון העם , הזכות לבחור ולהיבחר , זכויות וחובות,
מדוע קיימות בחוק הגבלות מסוימות על הזכות להיבחר (כמו גיל או הרשעה)? , כדי למנוע מאנשים צעירים להשפיע / כדי להבטיח את תקינות וראויות נציגי הציבור / כדי לצמצם את מספר המפלגות , כדי להבטיח את תקינות וראויות נציגי הציבור , הזכות לבחור ולהיבחר , זכויות וחובות,
מה מאפשר חופש ההתאגדות הפוליטית לאזרחים במדינה? , להקים מפלגות וארגונים לקידום מטרות משותפות / לקבל תקציבים מהמדינה לכל צורך / לעבוד בכל מקצוע שיבחרו , להקים מפלגות וארגונים לקידום מטרות משותפות , חופש ההתאגדות (התארגנות פוליטית) , זכויות וחובות,
באיזו זכות פוליטית משתמשים אזרחים המחליטים להקים תנועת מחאה רשמית? , חופש המצפון / חופש ההתאגדות / הזכות להליך הוגן , חופש ההתאגדות , חופש ההתאגדות (התארגנות פוליטית) , זכויות וחובות,
מתי רשאית המדינה להגביל את חופש ההתאגדות של קבוצה מסוימת? , כשהקבוצה מבקרת את הממשלה / כשהקבוצה פועלת נגד קיום המדינה או אופייה הדמוקרטי / אסור להגביל התאגדות בשום מצב , כשהקבוצה פועלת נגד קיום המדינה או אופייה הדמוקרטי , חופש ההתאגדות (התארגנות פוליטית) , זכויות וחובות,
לשם מה נועדה הזכות להפגין ולמחות במדינה דמוקרטית? , להביע דעה בפומבי ולייצר לחץ לשינוי שלטוני / להרוויח כסף מהמדינה / למנוע מהמשטרה לפעול , להביע דעה בפומבי ולייצר לחץ לשינוי שלטוני , הזכות להפגין ולמחות , זכויות וחובות,
הזכות להפגין ולמחות היא נגזרת מעשית של איזו זכות אחרת? , חופש התנועה / חופש הביטוי / חופש העיסוק , חופש הביטוי , הזכות להפגין ולמחות , זכויות וחובות,
תחת אילו נסיבות רשאית המשטרה להגביל את הזכות להפגין? , רק לפי החלטת ראש הממשלה / כאשר יש ודאות קרובה לסכנה ממשית לשלום הציבור / לא ניתן להגביל הפגנות כלל , כאשר יש ודאות קרובה לסכנה ממשית לשלום הציבור , הזכות להפגין ולמחות , זכויות וחובות,
מהי החובה המוסרית הבסיסית ביותר של אדם כלפי זולתו? , לשלם מיסים בזמן / להכיר בזכויותיו של האחר ולהימנע מפגיעה בהן / להתנדב בקהילה , להכיר בזכויותיו של האחר ולהימנע מפגיעה בהן , חובות האדם כאדם , זכויות וחובות,
אדם המדווח לרשויות על מעשה אלימות כלפי שכנו מקיים את... , חובת האדם כאזרח / חובת האדם כאדם / חופש המצפון , חובת האדם כאדם , חובות האדם כאדם , זכויות וחובות,
האם החובה שלא לפגוע בכבודו של אדם אחר קיימת רק כלפי אזרחי המדינה? ," כן, החוק מגן רק על אזרחים / לא, זוהי חובת אדם כלפי כל אדם באשר הוא / כן, רק במדינות דמוקרטיות "," לא, זוהי חובת אדם כלפי כל אדם באשר הוא ", חובות האדם כאדם , זכויות וחובות,
איזו מהבאות היא דוגמה מובהקת לחובה המוטלת על אדם מתוקף היותו אזרח? , שמירה על פרטיות הזולת / תשלום מיסים וציות לחוקי המדינה / תרומה לארגוני צדקה , תשלום מיסים וציות לחוקי המדינה , חובות האדם כאזרח , זכויות וחובות,
שירות צבאי או אזרחי (במדינות בהן החוק דורש זאת) הוא ביטוי ל... , חובת האדם כאדם / חובת האדם כאזרח / פגיעה בחופש התנועה , חובת האדם כאזרח , חובות האדם כאזרח , זכויות וחובות,
השתתפות בבחירות והתנדבות בקהילה נחשבות במדינה דמוקרטית ל... , חובה ערכית אזרחית / חובה משפטית שנאכפת בקנס / זכות פוליטית שלא ניתן לממש , חובה ערכית אזרחית , חובות האדם כאזרח , זכויות וחובות,
מה מתרחש במצב של התנגשות בין זכויות? , הזכות החשובה ביותר תמיד מנצחת לחלוטין / נוצר צורך למצוא פשרה ואיזון תוך פגיעה מידתית / מבטלים את שתי הזכויות , נוצר צורך למצוא פשרה ואיזון תוך פגיעה מידתית , התנגשות בין זכויות , זכויות וחובות,
"כאשר שוטר עוצר אדם החשוד באלימות, איזו התנגשות זכויות באה לידי ביטוי? ", הזכות לחירות של החשוד מול הזכות לביטחון של הציבור / חופש הביטוי מול הזכות לשם טוב / אפליה מול מדיניות הבחנה , הזכות לחירות של החשוד מול הזכות לביטחון של הציבור , התנגשות בין זכויות , זכויות וחובות,
כיצד השלטון מכריע כאשר זכותו של אדם להפגין חוסמת צירי תנועה מרכזיים? , מבטל את זכות ההפגנה לצמיתות / עורך איזון בין חופש ההפגנה לחופש התנועה של הציבור / מאפשר להפגין ללא כל הגבלה , עורך איזון בין חופש ההפגנה לחופש התנועה של הציבור , התנגשות בין זכויות , זכויות וחובות,
מהי הזכות המהווה תנאי מקדים והכרחי למימושן של כל שאר זכויות האדם? , הזכות לשוויון / הזכות לחיים ולביטחון / הזכות לחירות , הזכות לחיים ולביטחון , הזכות לחיים ולביטחון , זכויות וחובות,
על מי מוטלת החובה המרכזית להגן על חייו וגופו של כל אדם הנמצא במדינה? , על ארגוני זכויות אדם בינלאומיים / על המדינה ומוסדותיה (משטרה וצבא) / על האזרח בלבד , על המדינה ומוסדותיה (משטרה וצבא) , הזכות לחיים ולביטחון , זכויות וחובות,
איסור על עינויים והתעללות גופנית על ידי חוקרי משטרה נגזר מתוך... ," הזכות לכבוד ולפרטיות / הזכות לחיים, לביטחון ולשלמות הגוף / הזכות להליך משפטי הוגן "," הזכות לחיים, לביטחון ולשלמות הגוף ", הזכות לחיים ולביטחון , זכויות וחובות,
"איזה סוג של קניין מוגן תחת ""הזכות לקניין""? ", רק קניין חומרי (כגון רכב ודירה) / קניין חומרי וקניין רוחני (כגון יצירה או פטנט) / רק כספים המופקדים בבנק , קניין חומרי וקניין רוחני (כגון יצירה או פטנט) , הזכות לקניין , זכויות וחובות,
